   ,Player,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
69,Ivica Zubac,LAC,13,34,15.4,6.5,11.5,56.7,0,0,0,2.3,3.8,61.2,4.1,8.1,12.2,2.2,0.7,1.2,2,23.2
69,Naz Reid,MIN,13,24.9,15.4,5.5,10.3,53.7,2.4,5.2,45.6,1.9,2.1,92.6,0.7,4.6,5.3,1.7,0.5,0.5,1,17.4
71,Dyson Daniels,ATL,11,33.3,15.3,6.5,13.1,49.3,1.2,4.2,28.3,1.2,2,59.1,1.1,3.2,4.3,2.9,3.8,0.8,1.6,18
72,Jordan Clarkson,UTA,10,25.8,15.2,5.3,13.3,39.8,1.9,6.4,29.7,2.7,3.6,75,0.7,3.1,3.8,4,1,0.1,2,13.2
73,Keyonte George,UTA,11,31.7,15.2,4.8,13.6,35.3,2.5,7.8,32.6,3,3.8,78.6,0.5,2.3,2.7,5.7,0.6,0.1,2.8,11.9
74,Jalen Suggs,ORL,14,30.1,15.1,5.2,12.7,41,2.1,6.8,30.5,2.6,2.9,92.5,0.6,4.4,5,4,1.6,1.1,3,16.1
75,Miles Bridges,CHA,9,30.1,15.1,5.2,13,40.2,1.7,5.8,28.8,3,3.6,84.4,0.8,6,6.8,2.6,0.6,0.4,1.6,15.6
76,Jared McCain,PHI,12,20,14.8,5.3,11.1,47.4,2.1,5.2,40.3,2.3,2.3,100,0.5,1.5,2,2.4,0.4,0,0.9,12.9
77,Bilal Coulibaly,WAS,11,35.4,14.7,5.5,10.2,54.5,1.1,3,36.4,2.5,3.4,75.7,2,3.9,5.9,2.9,1.1,0.7,2.2,17.7
78,Andrew Wiggins,GSW,10,26.7,14.5,5,11.7,42.7,1.7,4.6,37,2.8,3.9,71.8,1.7,2.6,4.3,2.3,0.9,0.8,0.9,14.1
